nr,battle,element,first,second
26,13_vendémiaire,Location,"Paris, France.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}48°51′24″N 2°21′04″E﻿ / ﻿48.856667°N 2.350987°E","Paris, France.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}48°51′24″N 2°21′04″E﻿ / ﻿48.856667°N 2.350987°E"
27,13_vendémiaire,Result,Republican victory,Republican victory
28,13_vendémiaire,Belligerents,French Republic,French Royalists
29,13_vendémiaire,Commanders and leaders,Paul Barras Napoleon Bonaparte,Richer de Sévigny Louis Michel Auguste Thévenet
30,13_vendémiaire,Strength,"6,000 total 4,500 regular troops, 1,500 'Patriots', 40 cannons","25,000-30,000"
31,13_vendémiaire,Casualties and losses,90 dead and wounded,300 dead 2 executed
32,battle_of_montenotte,Battle,Battle of Montenotte,Battle of Montenotte
33,battle_of_montenotte,Date,11 and 12 April 1796,11 and 12 April 1796
34,battle_of_montenotte,Location,"near Cairo Montenotte, Italy.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}44°24′00″N 8°16′00″E﻿ / ﻿44.4000°N 8.2667°E","near Cairo Montenotte, Italy.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}44°24′00″N 8°16′00″E﻿ / ﻿44.4000°N 8.2667°E"
35,battle_of_montenotte,Result,French victory,French victory
36,battle_of_montenotte,Belligerents,French Republic,Habsburg monarchy  Kingdom of Sardinia
37,battle_of_montenotte,Commanders and leaders,Napoleon Bonaparte  André Masséna  Amédée Laharpe  Antoine Rampon,Eugène Argenteau  Mathias Rukavina
38,battle_of_montenotte,Strength,"9,000, 18 guns","6,000, 12 guns"
39,battle_of_montenotte,Casualties and losses,~200,"3,500 12 guns"
40,battle_of_millesimo,Battle,Battle of Millesimo,Battle of Millesimo
41,battle_of_millesimo,Date,13-14 April 1796,13-14 April 1796
42,battle_of_millesimo,Location,"Millesimo, present-day Italy.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}44°22′N 8°12′E﻿ / ﻿44.367°N 8.200°E","Millesimo, present-day Italy.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}44°22′N 8°12′E﻿ / ﻿44.367°N 8.200°E"
43,battle_of_millesimo,Result,French victory,French victory
44,battle_of_millesimo,Belligerents,French Republic,Kingdom of Sardinia  Habsburg monarchy
45,battle_of_millesimo,Commanders and leaders,Napoleon Bonaparte  Pierre Augereau,Giovanni di Provera  Filippo del Carretto †
46,battle_of_millesimo,Strength,"9,000 23 guns","Millesimo: 4,000 Cosseria: 988"
47,battle_of_millesimo,Casualties and losses,"Millesimo: 700 Cosseria: 1,000","Millesimo: 2-3,000, 18 guns Cosseria: 988, 2 guns"
48,second_battle_of_dego,Battle,Second Battle of Dego,Second Battle of Dego
49,second_battle_of_dego,Date,14-15 April 1796,14-15 April 1796
50,second_battle_of_dego,Location,"Dego, present-day Italy.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}44°27′00″N 8°19′00″E﻿ / ﻿44.4500°N 8.3167°E","Dego, present-day Italy.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}44°27′00″N 8°19′00″E﻿ / ﻿44.4500°N 8.3167°E"
51,second_battle_of_dego,Result,French victory,French victory
52,second_battle_of_dego,Belligerents,French Republic,Habsburg monarchy  Kingdom of Sardinia
53,second_battle_of_dego,Commanders and leaders,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}  Napoleon Bonaparte  André Masséna",Eugène Argenteau  Josef Vukassovich
54,second_battle_of_dego,Strength,"14 April: 12,000 15 April: 15,000","14 April: 5,700 15 April: 3,500"
55,second_battle_of_dego,Casualties and losses,"14 April: 1,500 casualties 15 April: 938 casualties","14 April: 3,000 casualties 15 April: 1,757 casualties"
56,battle_of_ceva,Battle,Battle of Ceva,Battle of Ceva
57,battle_of_ceva,Date,16 April 1796,16 April 1796
58,battle_of_ceva,Location,"Ceva, Piedmont in present day Italy.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}44°23′N 08°02′E﻿ / ﻿44.383°N 8.033°E","Ceva, Piedmont in present day Italy.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}44°23′N 08°02′E﻿ / ﻿44.383°N 8.033°E"
59,battle_of_ceva,Result,French victory,French victory
60,battle_of_ceva,Belligerents,France,Sardina
61,battle_of_ceva,Commanders and leaders,Napoleon Bonaparte,"Giuseppe Felice, Count Vital"
62,battle_of_ceva,Strength,"7,908","6,000"
63,battle_of_ceva,Casualties and losses,600,over 150
64,battle_of_mondovì,Battle,Battle of Mondovì,Battle of Mondovì
65,battle_of_mondovì,Date,20-22 April 1796,20-22 April 1796
66,battle_of_mondovì,Location,"Mondovì, Piedmont, Italy.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}44°23′00″N 7°49′00″E﻿ / ﻿44.3833°N 7.8167°E","Mondovì, Piedmont, Italy.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}44°23′00″N 7°49′00″E﻿ / ﻿44.3833°N 7.8167°E"
67,battle_of_mondovì,Result,French victory Armistice of Cherasco Withdrawal of Sardinia from the First Coalition,French victory Armistice of Cherasco Withdrawal of Sardinia from the First Coalition
68,battle_of_mondovì,Belligerents,French Republic,Sardinia
69,battle_of_mondovì,Commanders and leaders,Napoleon Bonaparte  André Masséna  Jean Sérurier,Michelangelo Colli-Marchi
70,battle_of_mondovì,Strength,"17,500","13,000"
71,battle_of_mondovì,Casualties and losses,"600 killed, wounded or captured","1,600 killed, wounded or captured 8 guns lost"
72,battle_of_fombio,Battle,Battle of Fombio,Battle of Fombio
73,battle_of_fombio,Date,7-9 May 1796,7-9 May 1796
74,battle_of_fombio,Location,"Fombio, Lombardy.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}45°09′00″N 9°42′00″E﻿ / ﻿45.1500°N 9.7000°E","Fombio, Lombardy.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}45°09′00″N 9°42′00″E﻿ / ﻿45.1500°N 9.7000°E"
75,battle_of_fombio,Result,French victory,French victory
76,battle_of_fombio,Belligerents,France,Austria
77,battle_of_fombio,Commanders and leaders,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}  Napoleon Bonaparte  Amédée Laharpe †  Claude Dallemagne",Johann Beaulieu  Anton Lipthay  Anton Schübirz
78,battle_of_fombio,Strength,11500,"Lipthay: 5,000 Schübirz: 1,580"
79,battle_of_fombio,Casualties and losses,450,"1,568, 20 guns"
80,battle_of_lodi,Battle,Battle of Lodi,Battle of Lodi
81,battle_of_lodi,Date,10 May 1796,10 May 1796
82,battle_of_lodi,Location,"Lodi, present-day Italy.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}45°19′00″N 9°30′00″E﻿ / ﻿45.3167°N 9.5000°E","Lodi, present-day Italy.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}45°19′00″N 9°30′00″E﻿ / ﻿45.3167°N 9.5000°E"
83,battle_of_lodi,Result,French victory,French victory
84,battle_of_lodi,Belligerents,French Republic,Habsburg monarchy
85,battle_of_lodi,Commanders and leaders,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}  Napoleon Bonaparte  André Masséna",Johann Beaulieu  Karl Sebottendorf
86,battle_of_lodi,Strength,"15,500 infantry 2,000 cavalry 30 guns","9,500 14 guns"
87,battle_of_lodi,Casualties and losses,350,"335 killed or wounded 1,700 captured 16 guns"
88,battle_of_borghetto,Battle,Battle of Borghetto,Battle of Borghetto
89,battle_of_borghetto,Date,30 May 1796,30 May 1796
90,battle_of_borghetto,Location,"Near Valeggio sul Mincio, Italy.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}45°21′00″N 10°44′00″E﻿ / ﻿45.3500°N 10.7333°E","Near Valeggio sul Mincio, Italy.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}45°21′00″N 10°44′00″E﻿ / ﻿45.3500°N 10.7333°E"
91,battle_of_borghetto,Result,French victory,French victory
92,battle_of_borghetto,Belligerents,France,Austria
93,battle_of_borghetto,Commanders and leaders,Napoleon Bonaparte  André Masséna,Johann Beaulieu
94,battle_of_borghetto,Strength,"28,000","19,000"
95,battle_of_borghetto,Casualties and losses,500,"572, 4 guns"
96,siege_of_mantua_(1796–1797),Battle,Siege of Mantua,Siege of Mantua
97,siege_of_mantua_(1796–1797),Date,4 July - 1 August 1796 27 August 1796 - 2 February 1797,4 July - 1 August 1796 27 August 1796 - 2 February 1797
98,siege_of_mantua_(1796–1797),Location,"Mantua, Italy.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}45°09′36″N 10°48′00″E﻿ / ﻿45.1600°N 10.8000°E","Mantua, Italy.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}45°09′36″N 10°48′00″E﻿ / ﻿45.1600°N 10.8000°E"
99,siege_of_mantua_(1796–1797),Result,French victory,French victory
100,siege_of_mantua_(1796–1797),Belligerents,French Republic,Austria
101,siege_of_mantua_(1796–1797),Commanders and leaders,Napoleon Bonaparte  André Masséna Jean-Mathieu-Philibert Sérurier,Dagobert von Wurmser  Joseph Canto d'Irles
102,siege_of_mantua_(1796–1797),Strength,16000,"25,000-34,000"
103,siege_of_mantua_(1796–1797),Casualties and losses,"7,000 killed, wounded or captured 179 guns lost","16,333 killed, wounded or died of disease 16,000 captured 325 guns captured"
104,battle_of_lonato,Battle,Battle of Lonato,Battle of Lonato
105,battle_of_lonato,Date,3-4 August 1796,3-4 August 1796
106,battle_of_lonato,Location,"Lonato del Garda, present-day Italy.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}45°27′40″N 10°29′04″E﻿ / ﻿45.46111°N 10.48444°E","Lonato del Garda, present-day Italy.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}45°27′40″N 10°29′04″E﻿ / ﻿45.46111°N 10.48444°E"
107,battle_of_lonato,Result,French victory,French victory
108,battle_of_lonato,Belligerents,France,Austria
109,battle_of_lonato,Commanders and leaders,Napoleon Bonaparte  André Masséna,Peter Quasdanovich  Dagobert von Wurmser
110,battle_of_lonato,Strength,20000,15000
111,battle_of_lonato,Casualties and losses,"2,000 casualties","5,000 casualties 23 guns"
112,second_battle_of_castiglione,Battle,Second Battle of Castiglione,Second Battle of Castiglione
113,second_battle_of_castiglione,Date,5 August 1796,5 August 1796
114,second_battle_of_castiglione,Location,"Castiglione delle Stiviere, Italy.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}45°23′N 10°29′E﻿ / ﻿45.383°N 10.483°E","Castiglione delle Stiviere, Italy.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}45°23′N 10°29′E﻿ / ﻿45.383°N 10.483°E"
115,second_battle_of_castiglione,Result,French victory,French victory
116,second_battle_of_castiglione,Belligerents,France,Habsburg monarchy
117,second_battle_of_castiglione,Commanders and leaders,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}  Napoleon Bonaparte  Pierre Augereau  André Masséna",Dagobert Sigmund von Wurmser
118,second_battle_of_castiglione,Strength,"Battle: 30,000","Battle: 25,000"
119,second_battle_of_castiglione,Casualties and losses,"Battle: 1,300","Battle: 3,000, 20 guns"
120,battle_of_rovereto,Battle,Battle of Rovereto,Battle of Rovereto
121,battle_of_rovereto,Date,4 September 1796,4 September 1796
122,battle_of_rovereto,Location,"Rovereto, present-day Italy.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}45°53′00″N 11°03′00″E﻿ / ﻿45.8833°N 11.0500°E","Rovereto, present-day Italy.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}45°53′00″N 11°03′00″E﻿ / ﻿45.8833°N 11.0500°E"
123,battle_of_rovereto,Result,French victory,French victory
124,battle_of_rovereto,Belligerents,First French Republic,Austria
125,battle_of_rovereto,Commanders and leaders,Napoleon Bonaparte  André Masséna,Paul Davidovich
126,battle_of_rovereto,Strength,"20,000","20,000"
127,battle_of_rovereto,Casualties and losses,750,"6,000 killed or wounded, 4000 prisoners, 25 guns, 7 colours"
128,battle_of_bassano,Battle,Battle of Bassano,Battle of Bassano
129,battle_of_bassano,Date,8 September 1796,8 September 1796
130,battle_of_bassano,Location,"Bassano, Venetia, present-day Italy.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}45°46′00″N 11°44′00″E﻿ / ﻿45.7667°N 11.7333°E","Bassano, Venetia, present-day Italy.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}45°46′00″N 11°44′00″E﻿ / ﻿45.7667°N 11.7333°E"
131,battle_of_bassano,Result,French victory,French victory
132,battle_of_bassano,Belligerents,First French Republic,Habsburg monarchy
133,battle_of_bassano,Commanders and leaders,Napoleon Bonaparte  André Masséna,Dagobert Sigmund von Wurmser
134,battle_of_bassano,Strength,20000,"20,000"
135,battle_of_bassano,Casualties and losses,"400 killed, wounded or missing","600 killed or wounded, 6,000 captured, 30 cannons, 8 standards"
136,second_battle_of_bassano,Battle,Second Battle of Bassano,Second Battle of Bassano
137,second_battle_of_bassano,Date,6 November 1796,6 November 1796
138,second_battle_of_bassano,Location,"Bassano del Grappa, in present-day Italy.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}45°46′N 11°44′E﻿ / ﻿45.767°N 11.733°E","Bassano del Grappa, in present-day Italy.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}45°46′N 11°44′E﻿ / ﻿45.767°N 11.733°E"
139,second_battle_of_bassano,Result,Austrian victory,Austrian victory
140,second_battle_of_bassano,Belligerents,French Republic,Habsburg monarchy
141,second_battle_of_bassano,Commanders and leaders,Napoleon Bonaparte,József Alvinczi
142,second_battle_of_bassano,Strength,"19,500 infantry","28,000 infantry"
143,second_battle_of_bassano,Casualties and losses,"3,000 dead and wounded","2,800-5,600 dead and wounded 2 guns"
144,"battle_of_caldiero,_1796",Battle,"Battle of Caldiero, 1796","Battle of Caldiero, 1796"
145,"battle_of_caldiero,_1796",Date,12 November 1796,12 November 1796
146,"battle_of_caldiero,_1796",Location,"Caldiero, in present-day Italy.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}45°25′N 11°11′E﻿ / ﻿45.417°N 11.183°E","Caldiero, in present-day Italy.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}45°25′N 11°11′E﻿ / ﻿45.417°N 11.183°E"
147,"battle_of_caldiero,_1796",Result,Austrian victory,Austrian victory
148,"battle_of_caldiero,_1796",Belligerents,First French Republic,Habsburg monarchy
149,"battle_of_caldiero,_1796",Commanders and leaders,Napoleon Bonaparte  André Masséna  Pierre Augereau,Jozsef Alvinczi  Prince Hohenzollern  Giovanni Provera
150,"battle_of_caldiero,_1796",Strength,"13,000 infantry","18,000 infantry"
151,"battle_of_caldiero,_1796",Casualties and losses,"1,800 dead and wounded, 2 guns","1,300 dead and wounded"
152,battle_of_arcole,Battle,Battle of Arcole,Battle of Arcole
153,battle_of_arcole,Date,15-17 November 1796,15-17 November 1796
154,battle_of_arcole,Location,"Arcole, Republic of Venice.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}45°21′26″N 11°16′39″E﻿ / ﻿45.35722°N 11.27750°E","Arcole, Republic of Venice.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}45°21′26″N 11°16′39″E﻿ / ﻿45.35722°N 11.27750°E"
155,battle_of_arcole,Result,French victory,French victory
156,battle_of_arcole,Belligerents,French Republic,Habsburg monarchy
157,battle_of_arcole,Commanders and leaders,Napoleon Bonaparte  André Masséna  Pierre Augereau,József Alvinczi
158,battle_of_arcole,Strength,"20,000",24000
159,battle_of_arcole,Casualties and losses,"3,500 killed or wounded 1,300 captured","2,200 killed or wounded 4,000 captured"
160,battle_of_rivoli,Battle,Battle of Rivoli,Battle of Rivoli
